mszoning,lotshape,landcontour,lotconfig,landslope,neighborhood,condition1,bldgtype,housestyle,roofstyle,exterior1st,exterior2nd,masvnrtype,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfintype2,heatingqc,centralair,electrical,kitchenqual,functional,fireplacequ,garagetype,garagefinish,garagequal,garagecond,paveddrive,saletype,salecondition,mssubclass,lotfrontage,lotarea,overallqual,overallcond,yearbuilt,yearremodadd,masvnrarea,bsmtfinsf1,bsmtunfsf,totalbsmtsf,firstflrsf,secondflrsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,totrmsabvgrd,fireplaces,garageyrblt,garagecars,garagearea,wooddecksf,openporchsf,enclosedporch,mosold,yrsold,Predicted Sale Price,Actual Sale Price
1,3,3,4,0,21,2,0,5,1,12,13,2,2,4,2,2,4,2,6,6,2,1,5,2,6,2,1,2,5,5,2,6,5,60,84.0,10728,8,5,2006,2006,0.0,0,1095,1095.0,1095,844,1939,0,0,2,1,3,1,8,1,2006.0,3,1053,192,51,0,8,2006,256719.51,266000
3,0,2,4,1,4,2,0,2,1,13,14,2,3,4,2,2,4,1,2,6,2,1,5,2,6,5,1,2,5,5,2,8,0,120,70.04995836802665,5271,7,5,1986,1986,0.0,1082,371,1453.0,1453,0,1453,1,0,1,1,2,1,6,1,1986.0,2,445,0,80,0,12,2006,188092.74,190000
4,3,3,4,0,5,2,4,2,1,12,13,1,2,4,2,2,4,2,2,6,0,1,5,2,6,2,1,2,5,5,2,8,4,120,37.0,4435,6,5,2004,2004,169.0,662,186,848.0,848,0,848,1,0,1,0,1,1,3,1,2004.0,2,420,140,0,0,5,2006,138747.0,155900
3,0,3,0,0,5,2,0,5,1,12,13,2,2,4,2,2,4,3,6,6,0,1,5,2,6,5,1,0,5,5,2,6,5,60,85.0,11103,7,5,2006,2006,0.0,0,728,728.0,728,728,1456,0,0,2,1,3,1,8,1,2006.0,2,440,0,0,0,7,2007,178842.87,155835
4,3,3,4,0,17,2,0,2,1,12,13,2,3,4,0,4,4,3,5,6,2,1,5,3,3,3,5,3,5,5,2,0,4,30,90.0,8100,5,6,1948,1973,0.0,338,1221,1559.0,1559,0,1559,1,0,1,0,2,1,5,0,1948.0,2,812,0,116,230,6,2007,141103.72,153500
3,3,3,4,0,14,6,0,5,4,14,6,1,3,4,1,4,4,3,5,1,0,1,5,3,2,3,1,0,5,5,2,8,4,60,80.0,10793,5,5,1969,1969,263.0,493,0,780.0,780,840,1620,0,0,2,1,4,1,7,0,1969.0,2,462,208,0,0,4,2007,158718.06,152000
3,3,3,0,0,11,2,0,2,1,6,7,2,3,4,1,4,4,1,0,6,4,1,5,3,6,3,1,3,5,5,2,8,4,20,76.0,8314,5,7,1982,1982,0.0,546,270,816.0,816,0,816,0,0,1,0,2,1,5,0,1982.0,1,264,168,0,0,6,2007,125003.43,124500
3,0,3,4,0,20,2,0,5,1,9,10,1,2,4,1,4,4,1,3,0,0,1,5,2,6,5,1,0,5,5,2,8,4,60,86.0,10380,7,5,1986,1987,172.0,28,0,1502.0,1553,1177,2730,1,0,2,1,4,1,8,1,1987.0,2,576,201,96,0,8,2007,266172.56,301000
3,3,3,4,0,19,2,2,2,3,6,6,2,3,4,1,4,4,3,6,6,4,0,5,3,6,3,6,1,3,3,2,8,4,90,72.0,10778,4,5,1968,1968,0.0,0,1768,1768.0,1768,0,1768,0,0,2,0,4,2,8,0,1978.5061638868744,0,0,0,0,0,4,2010,122301.98,136500
3,3,3,4,0,8,6,0,2,1,12,13,2,2,4,2,2,4,3,2,6,0,1,5,2,6,2,1,0,5,5,2,6,5,20,65.0,10237,6,5,2005,2006,0.0,28,1288,1316.0,1316,0,1316,0,0,2,0,3,1,6,1,2005.0,2,397,100,0,0,10,2006,177100.18,169990
3,3,3,4,0,3,2,0,0,1,13,14,2,2,2,0,4,4,3,6,6,2,0,5,0,6,3,5,3,5,5,2,8,4,50,55.0,7264,7,7,1925,2007,0.0,0,952,952.0,952,596,1548,0,0,2,1,3,1,5,0,1978.0,2,672,74,0,0,10,2009,171600.35,205000
1,3,3,3,0,21,2,4,5,3,8,8,1,2,4,2,2,4,3,2,6,0,1,5,2,6,3,5,3,5,5,2,8,4,160,35.0,3735,7,5,1999,1999,218.0,450,241,691.0,713,739,1452,1,0,2,1,3,1,6,0,1999.0,2,506,0,34,0,3,2006,164490.44,183900
3,0,3,4,0,5,2,0,2,1,12,13,2,2,4,2,2,4,2,6,6,0,1,5,2,6,3,1,2,5,5,2,6,5,20,73.0,8990,7,5,2006,2006,0.0,0,1498,1498.0,1498,0,1498,0,0,2,0,2,1,5,0,2006.0,2,675,351,33,0,4,2006,219931.2,204900
3,0,3,0,0,14,2,0,5,1,5,5,1,2,4,1,2,4,3,2,6,4,1,5,0,6,5,1,2,5,5,2,8,4,60,94.0,13005,7,7,1980,1980,278.0,692,153,845.0,1153,1200,2353,1,0,2,1,4,1,10,1,1983.0,2,484,288,195,0,8,2009,244046.55,260000
3,2,3,4,0,12,4,0,2,1,9,10,2,3,4,1,2,4,3,3,6,2,1,5,3,6,5,1,3,5,5,2,8,4,20,70.04995836802665,12155,6,3,1970,1970,0.0,1237,420,1657.0,1657,0,1657,0,1,2,0,3,1,7,1,1970.0,2,484,0,0,0,3,2007,177085.5,163500
3,3,3,4,0,5,2,0,5,1,12,13,1,2,4,2,2,4,3,2,6,0,1,5,2,6,3,1,2,5,5,2,8,4,60,65.0,8158,7,5,2003,2003,252.0,550,334,884.0,884,884,1768,1,0,2,1,3,1,8,0,2003.0,2,543,0,63,0,7,2008,208525.99,224900
3,0,3,4,0,12,2,0,2,1,9,10,1,3,2,1,2,4,1,0,6,0,1,5,3,6,2,1,0,5,5,2,8,4,20,95.0,13651,7,6,1973,1973,1115.0,1880,343,2223.0,2223,0,2223,1,0,2,0,3,1,8,2,1973.0,2,516,300,0,0,2,2007,258903.69,244000
4,3,3,0,0,3,2,0,1,1,13,14,2,3,4,0,4,4,3,6,6,0,1,0,3,6,3,5,3,5,5,2,8,4,45,51.0,6120,7,8,1929,2001,0.0,0,832,832.0,854,0,854,0,0,1,0,2,1,5,0,1991.0,2,576,48,112,0,7,2007,146452.58,132000
3,0,3,2,0,24,1,0,7,1,9,10,2,3,4,2,2,4,1,0,5,0,1,5,2,6,5,1,3,5,5,2,8,4,80,70.04995836802665,16157,5,7,1978,1978,0.0,680,289,1360.0,1432,0,1432,1,0,1,1,2,1,5,1,1978.0,2,588,168,180,0,6,2007,184138.9,194000
3,3,3,4,0,12,2,0,2,3,3,3,2,3,4,1,4,4,3,0,5,2,1,5,3,6,2,1,2,5,5,2,8,4,20,70.0,8400,6,3,1957,1957,0.0,189,628,1478.0,1478,0,1478,1,0,1,1,3,1,6,2,1957.0,2,442,114,0,0,6,2009,157751.5,156500
3,3,3,4,0,12,2,0,2,1,9,10,2,3,4,1,4,4,3,2,3,2,1,5,2,6,3,5,2,5,5,2,8,4,20,61.0,7930,6,8,1969,2005,0.0,439,115,1026.0,1026,0,1026,1,0,1,0,3,1,5,0,1969.0,2,440,171,48,0,7,2009,141872.0,156000
3,0,2,1,1,22,2,0,2,1,6,6,2,2,4,2,2,4,1,2,6,4,1,5,2,6,5,1,2,5,5,2,8,4,120,70.04995836802665,6563,8,5,1985,1985,0.0,1148,594,1742.0,1742,0,1742,1,0,2,0,2,1,5,1,1985.0,2,564,114,28,234,12,2006,284208.77,275000
3,1,3,4,0,5,2,0,2,1,12,13,2,3,4,2,2,4,3,2,6,0,1,5,3,6,3,5,3,5,5,2,8,4,20,57.0,9245,5,5,1994,1995,0.0,686,304,990.0,990,0,990,0,1,1,0,3,1,5,0,1996.0,2,672,0,0,0,2,2008,143852.42,145000
3,0,1,4,2,12,2,0,5,1,9,10,1,3,4,2,2,4,0,5,6,4,1,5,1,6,5,1,3,5,5,2,8,3,60,70.0,11606,5,5,1969,1969,192.0,650,390,1040.0,1040,1040,2080,0,1,1,2,5,1,9,2,1969.0,2,504,335,0,0,9,2007,184818.53,135000
4,3,3,4,0,3,2,0,2,1,0,0,2,1,1,0,4,0,3,6,6,1,0,0,1,0,4,6,1,3,3,0,5,4,30,51.0,6120,2,3,1936,1950,0.0,0,264,264.0,800,0,800,0,0,1,0,1,1,4,1,1978.5061638868744,0,0,0,0,0,1,2009,62668.5,60000
3,3,1,4,1,5,2,0,2,1,6,6,1,3,4,1,2,4,3,5,6,4,1,5,3,6,3,6,1,3,3,2,8,4,20,60.0,8430,5,5,1978,1978,136.0,616,424,1040.0,1040,0,1040,0,0,2,0,3,1,5,0,1978.5061638868744,0,0,0,0,0,8,2009,130433.5,124000
3,0,3,0,0,19,2,0,2,1,6,6,2,3,2,1,4,4,3,0,6,0,1,5,3,6,3,5,3,5,5,2,8,4,20,70.04995836802665,6897,5,8,1962,2010,0.0,659,381,1040.0,1040,0,1040,1,0,1,1,3,1,6,0,1962.0,1,260,0,104,0,4,2010,135809.25,127000
4,3,3,4,0,3,2,0,5,1,8,8,2,3,4,0,4,4,2,6,6,0,1,5,3,6,3,5,3,1,1,0,8,4,70,51.0,6120,5,8,1920,2004,0.0,0,939,939.0,939,574,1513,0,0,1,1,4,1,8,0,1933.0,1,180,24,0,150,5,2007,137251.22,137500
3,0,3,4,0,5,2,0,5,1,12,13,2,2,4,2,2,4,0,6,6,0,1,5,2,6,3,1,2,5,5,2,8,4,60,79.0,9245,7,5,2006,2006,0.0,0,939,939.0,939,858,1797,0,0,2,1,3,1,8,0,2006.0,2,639,144,53,0,4,2007,215649.58,213500
4,3,3,0,0,17,2,0,2,1,8,8,3,3,2,1,4,4,3,1,6,4,1,5,2,6,2,1,3,5,5,2,8,0,30,60.0,7200,5,7,1940,1992,294.0,510,278,788.0,804,0,804,1,0,1,0,2,1,4,2,1940.0,1,240,0,0,154,2,2010,117093.54,119000
4,3,3,0,0,17,2,0,2,1,8,8,2,3,4,1,4,4,3,6,6,0,1,5,3,6,3,5,3,1,5,2,8,4,20,50.0,6000,4,7,1954,2000,0.0,0,901,901.0,901,0,901,0,0,1,0,2,1,4,0,1954.0,1,281,0,0,0,8,2008,110055.04,107900
3,3,3,4,0,12,2,0,2,1,8,8,2,3,4,1,4,4,3,6,6,4,1,5,3,6,3,5,3,5,5,2,8,4,20,70.0,8294,4,5,1971,1971,0.0,0,858,858.0,872,0,872,0,0,1,0,3,1,5,0,1974.0,4,480,0,0,0,6,2007,108224.83,123000
4,3,3,4,0,19,5,2,0,1,12,13,2,3,4,3,3,2,4,4,4,4,1,5,3,6,3,1,3,5,5,2,8,4,90,68.0,8930,6,5,1978,1978,0.0,0,0,0.0,1318,584,1902,0,0,2,0,4,2,8,0,1978.0,2,539,0,0,0,4,2010,150828.14,112000
3,0,3,4,0,16,2,0,2,1,12,13,1,2,4,2,2,4,3,2,4,0,1,5,2,6,2,1,2,5,5,2,8,4,20,85.0,10655,8,5,2003,2004,296.0,1124,1603,3206.0,1629,0,1629,1,0,2,0,3,1,7,1,2003.0,3,880,0,0,0,10,2009,284502.72,284000
2,3,3,4,0,12,2,4,6,1,8,8,1,3,4,2,2,4,0,2,3,0,1,5,3,6,3,1,0,5,5,2,8,4,120,34.0,4058,7,5,1998,1998,182.0,584,0,723.0,767,0,767,1,0,1,0,1,1,4,0,1998.0,1,367,120,40,0,6,2007,153271.55,133000
4,3,3,4,0,5,2,4,2,1,12,13,1,2,4,2,2,4,0,2,6,0,1,5,2,6,2,1,2,5,5,2,8,4,120,70.04995836802665,4438,6,5,2004,2004,205.0,662,186,848.0,848,0,848,1,0,1,0,1,1,3,1,2004.0,2,420,149,0,0,1,2008,143138.0,149000
3,0,1,4,0,8,2,0,5,1,12,13,2,3,4,2,2,4,0,6,6,2,1,5,3,6,5,1,0,5,5,2,8,4,60,57.0,8773,6,5,1997,1997,0.0,0,916,916.0,916,684,1600,0,0,2,1,3,1,7,1,1997.0,2,460,100,38,0,8,2007,177500.8,169000
3,3,0,4,0,3,2,0,0,2,13,14,2,3,4,0,4,4,3,6,6,2,1,5,2,6,2,5,3,5,5,0,8,4,50,64.0,13053,6,7,1923,2000,0.0,0,833,833.0,1053,795,1848,0,0,1,1,4,1,8,1,1922.0,2,370,0,0,0,6,2008,186987.9,207000
3,0,3,0,0,23,2,0,2,1,6,6,2,3,4,1,2,4,2,2,6,4,1,5,2,6,5,1,3,5,5,2,8,4,20,130.0,11457,6,5,1988,1988,0.0,1005,387,1392.0,1412,0,1412,1,0,2,0,3,1,6,1,1988.0,2,576,0,0,169,3,2009,172517.82,175000
3,0,3,1,0,19,2,0,2,3,6,10,1,3,4,1,4,4,3,1,3,4,1,5,3,6,3,1,3,5,5,2,8,4,20,70.04995836802665,13526,5,6,1965,1965,114.0,560,0,935.0,935,0,935,1,0,1,0,3,1,5,0,1965.0,1,288,180,0,0,11,2006,134656.5,137000
3,0,3,4,0,8,2,0,5,1,12,13,2,2,4,2,2,4,3,2,6,0,1,5,2,6,5,3,0,5,5,2,8,4,60,70.04995836802665,8795,7,5,2000,2000,0.0,300,652,952.0,980,1276,2256,0,0,2,1,4,1,8,1,2000.0,2,554,224,54,0,4,2009,243306.35,236000
4,3,3,4,0,3,6,0,2,1,12,13,2,3,4,0,4,4,3,6,6,4,1,0,3,6,3,5,3,5,5,1,8,4,40,50.0,9100,5,6,1930,1960,0.0,0,742,742.0,779,0,935,0,0,1,0,2,1,4,0,1988.0,1,308,0,0,0,8,2008,111653.33,79500
3,3,3,4,0,5,2,0,2,1,12,13,2,3,4,2,2,4,3,6,6,0,1,5,2,6,3,1,3,5,5,2,8,4,20,75.0,9525,5,6,1995,2006,0.0,0,1099,1099.0,1099,0,1099,0,0,1,1,3,1,6,0,1999.0,1,352,278,0,0,6,2008,141475.5,144000
3,3,3,4,0,14,2,0,5,1,6,6,2,3,4,2,2,4,3,2,6,4,1,5,3,6,5,1,2,5,5,2,8,4,60,78.0,10140,7,5,1976,1976,0.0,194,638,832.0,832,832,1664,0,0,2,1,4,1,8,1,1976.0,2,528,0,28,0,3,2006,182050.15,162900
3,3,3,4,0,5,2,0,5,1,12,13,2,2,4,2,2,4,3,2,6,0,1,5,2,6,3,1,2,5,5,2,8,4,60,64.0,8320,7,5,2004,2004,0.0,490,280,770.0,770,812,1582,0,0,2,1,3,1,6,0,2004.0,2,520,0,45,0,9,2008,186569.15,185900
3,3,3,4,0,23,2,0,2,3,12,13,1,2,4,2,0,4,1,2,6,0,1,5,2,6,2,1,2,5,5,2,6,5,20,88.0,11443,8,5,2005,2006,208.0,1460,408,1868.0,2028,0,2028,1,0,2,0,2,1,7,2,2005.0,3,880,326,66,0,3,2006,375242.38,369900
3,3,3,0,0,5,2,0,5,1,12,13,2,3,4,2,2,4,0,6,6,0,1,5,2,6,3,1,2,5,5,2,8,4,60,80.0,10400,7,5,1998,1998,0.0,0,866,866.0,866,913,1779,0,0,2,1,3,1,6,0,1998.0,2,546,198,36,0,3,2009,202631.72,197900
4,3,3,0,0,17,2,0,3,1,13,14,2,3,4,1,4,4,3,6,6,0,1,5,3,6,3,6,1,3,3,2,8,0,75,92.0,5520,6,6,1912,1950,0.0,0,755,755.0,929,929,2229,0,0,1,0,5,1,8,0,1978.5061638868744,0,0,0,198,30,7,2009,144940.25,104000
0,3,3,4,0,9,2,0,2,1,0,0,2,3,4,1,4,4,0,1,6,4,0,0,3,6,3,5,3,5,5,2,8,0,20,50.0,9000,2,3,1949,1950,0.0,50,430,480.0,480,0,480,1,0,0,0,1,1,4,0,1958.0,1,308,0,0,0,10,2006,79947.0,35311
3,3,3,2,0,16,2,0,2,3,5,5,3,0,4,2,0,4,1,2,6,0,1,5,0,6,2,1,0,5,5,2,8,4,20,96.0,12456,10,5,2006,2007,230.0,1172,528,1700.0,1718,0,1718,1,0,2,0,3,1,7,1,2008.0,3,786,216,48,0,7,2009,323286.46,337500
3,3,3,0,0,16,2,4,2,3,8,8,1,0,4,2,0,4,3,2,6,0,1,5,0,6,2,1,0,5,5,2,6,5,120,65.0,8769,9,5,2008,2008,766.0,1540,162,1702.0,1702,0,1702,1,0,1,1,1,1,7,1,2008.0,3,1052,0,72,0,10,2008,357731.98,367294
3,0,3,1,0,5,2,0,2,3,12,13,2,3,4,1,2,4,0,3,1,4,1,5,3,6,3,5,3,5,5,2,8,4,20,70.04995836802665,9200,5,6,1975,1980,0.0,280,167,938.0,938,0,938,1,0,1,0,3,1,5,0,1977.0,1,308,145,0,0,7,2008,122892.83,130250
3,3,3,4,0,5,2,0,2,1,12,13,3,2,4,2,2,4,3,2,6,0,1,5,2,6,3,1,3,5,5,2,8,4,20,70.04995836802665,8125,7,5,2002,2002,295.0,986,668,1654.0,1654,0,1654,1,0,2,0,3,1,6,0,2002.0,3,900,0,136,0,2,2006,235417.63,230000
3,0,3,0,0,15,2,0,5,1,6,6,1,0,4,2,0,4,1,2,6,0,1,5,0,6,0,1,0,5,5,2,8,4,60,104.0,21535,10,6,1994,1995,1170.0,1455,989,2444.0,2444,1872,4316,0,1,3,1,4,1,10,2,1994.0,3,832,382,50,0,1,2007,577658.06,755000
3,0,3,4,0,15,2,0,5,1,12,13,1,2,4,2,2,4,3,2,6,0,1,5,0,6,5,1,0,5,5,2,8,4,60,174.0,15138,8,5,1995,1996,506.0,689,773,1462.0,1490,1304,2794,1,0,2,1,4,1,9,1,1995.0,3,810,0,146,202,7,2009,346978.79,403000
3,3,3,4,0,12,2,0,2,3,13,14,2,3,4,1,2,4,3,5,6,4,1,5,3,6,3,1,3,5,5,2,8,4,20,70.0,13300,5,7,1956,2000,0.0,377,551,928.0,928,0,928,0,0,1,0,2,1,4,0,1956.0,1,252,261,0,156,6,2007,125657.58,132000
3,3,3,4,0,20,2,0,5,1,6,6,1,2,4,1,2,4,3,6,6,4,1,5,2,6,5,1,0,5,5,2,8,4,60,77.0,9206,6,5,1985,1985,336.0,0,741,741.0,977,755,1732,0,0,2,1,3,1,7,1,1985.0,2,476,192,46,0,6,2010,177132.0,178000
3,3,0,4,0,18,2,0,0,1,8,8,2,3,4,2,4,4,3,5,6,1,1,5,3,6,2,5,3,5,5,2,8,4,50,60.0,8400,6,5,1925,1950,0.0,423,758,1181.0,1390,304,1694,0,0,2,0,4,1,7,1,1925.0,2,576,342,0,128,6,2008,157747.89,136500
3,3,0,4,0,8,2,1,2,3,13,14,2,3,4,1,4,4,2,5,6,4,0,5,3,6,3,1,0,5,5,2,8,4,190,100.0,34650,5,5,1955,1955,0.0,1056,0,1056.0,1056,0,1056,1,0,1,0,3,1,5,0,1955.0,2,572,264,0,0,1,2006,141572.25,145000
3,3,3,4,0,12,2,0,6,1,6,6,2,3,4,1,4,4,0,0,6,4,1,5,3,6,4,1,2,5,5,2,8,4,85,68.0,7838,5,5,1967,1967,0.0,769,95,864.0,900,0,900,1,0,1,0,3,1,6,1,1967.0,1,288,175,144,0,12,2006,122457.97,123000
3,0,3,4,0,6,2,0,0,1,3,3,2,2,4,1,2,4,3,5,6,2,1,5,2,6,2,1,0,1,5,2,8,4,50,86.0,11500,7,7,1936,1987,0.0,223,794,1017.0,1020,1037,2057,0,0,1,1,3,1,6,1,1936.0,1,180,0,0,0,6,2006,217394.79,250000
3,1,3,4,0,5,2,0,2,1,12,13,2,2,4,2,2,4,3,6,6,0,1,5,2,6,3,1,2,5,5,2,8,4,20,67.0,16285,7,5,2001,2002,0.0,0,1413,1413.0,1430,0,1430,0,0,2,0,3,1,6,0,2001.0,2,605,0,33,0,6,2009,192948.53,187100
3,3,3,4,0,5,2,0,6,1,14,6,2,3,2,1,2,4,0,2,6,2,1,5,3,6,3,5,0,5,5,2,8,4,85,60.0,7200,5,8,1972,2003,0.0,660,108,768.0,768,0,768,0,1,1,0,2,1,5,0,1974.0,1,396,192,0,0,4,2009,126079.5,133900
3,3,3,4,0,7,2,0,2,1,11,12,2,3,4,0,4,4,3,1,6,4,0,1,3,6,3,6,1,3,3,0,8,4,30,45.0,8248,3,3,1914,1950,0.0,41,823,864.0,864,0,864,1,0,1,0,2,1,5,0,1978.5061638868744,0,0,0,0,100,9,2008,74904.0,67000
3,3,3,4,0,6,2,0,2,1,8,8,2,3,4,0,1,4,3,6,6,0,1,5,1,6,2,5,3,5,1,2,8,4,30,80.0,11600,4,5,1922,1950,0.0,0,700,700.0,1180,0,1180,0,0,1,0,2,1,5,1,1922.0,1,252,0,0,67,7,2006,110700.25,137500
3,3,3,4,0,12,4,0,5,1,12,13,1,3,4,1,4,4,3,1,6,4,1,5,3,6,1,1,2,5,5,2,8,4,60,69.0,7590,6,5,1966,1966,266.0,512,148,660.0,660,688,1348,0,0,1,1,3,1,6,1,1966.0,2,453,188,108,0,7,2006,145650.87,155000
3,0,3,1,0,6,2,0,2,3,13,11,2,2,4,2,4,4,3,5,6,4,1,5,3,0,5,1,2,5,5,2,8,2,20,70.04995836802665,32668,6,3,1957,1975,103.68526170798899,1219,816,2035.0,2515,0,2515,1,0,3,0,4,2,9,2,1975.0,2,484,0,0,200,3,2007,215906.06,200624
3,3,3,0,0,12,1,2,5,1,8,8,1,3,4,1,4,4,3,5,6,4,1,0,3,6,3,5,3,5,5,2,8,4,90,80.0,11600,5,5,1960,1960,361.0,443,662,1105.0,1105,1169,2274,0,0,2,0,5,2,12,0,1960.0,2,480,0,0,0,1,2010,147621.11,154300
4,3,3,4,0,9,2,0,2,3,13,14,2,3,4,0,4,0,3,6,6,1,0,5,3,6,2,5,3,5,1,1,8,4,30,60.0,9786,3,4,1922,1950,0.0,0,1007,1007.0,1077,0,1077,0,0,1,0,3,1,6,1,1922.0,1,210,0,100,48,5,2006,103716.79,91000
3,3,3,2,0,12,2,2,5,1,12,13,2,3,4,1,2,4,3,6,6,4,1,5,3,6,3,6,1,3,3,2,8,4,90,60.0,9000,5,5,1974,1974,0.0,0,896,896.0,896,896,1792,0,0,2,2,4,2,8,0,1978.5061638868744,0,0,32,45,0,9,2009,135682.15,136000
3,3,3,4,0,19,1,2,6,1,9,10,2,3,4,1,2,4,0,2,6,4,1,5,3,6,3,4,3,1,5,2,8,2,90,60.0,12900,4,4,1969,1969,0.0,1198,0,1198.0,1258,0,1258,2,0,0,2,0,2,6,0,1969.0,2,400,120,0,0,1,2008,143487.25,108959
3,3,3,4,0,12,2,0,2,3,13,3,2,3,4,1,4,4,3,6,6,0,1,5,3,6,5,1,3,5,5,2,8,4,20,75.0,11310,6,5,1954,1954,0.0,0,1367,1367.0,1375,0,1375,0,0,1,0,2,1,5,1,1954.0,2,451,0,30,0,6,2006,150007.0,140000
3,0,3,4,0,7,2,0,2,1,13,14,2,3,4,0,4,4,2,0,6,0,1,5,3,6,3,6,1,3,3,0,8,4,30,58.0,9098,4,7,1920,2002,0.0,348,180,528.0,605,0,605,1,0,1,0,2,1,5,0,1978.5061638868744,0,0,0,0,144,7,2007,85315.5,86000
3,3,3,0,0,19,1,0,2,3,6,6,2,3,4,1,4,4,3,1,6,0,1,5,3,6,5,1,2,5,5,2,8,4,20,80.0,10000,5,6,1961,1983,0.0,594,270,864.0,1144,0,1144,1,0,1,0,3,1,6,1,1961.0,1,264,165,0,0,3,2009,134393.79,131400
3,3,3,0,0,5,2,0,2,1,12,13,2,2,4,2,0,4,0,6,6,0,1,5,2,6,3,1,2,5,5,2,8,4,20,85.0,11049,8,5,2007,2007,0.0,0,1234,1234.0,1234,0,1234,0,0,2,0,3,1,7,0,2007.0,2,484,0,30,0,1,2008,218999.04,179900
3,3,3,4,0,17,2,2,6,1,9,10,2,3,4,1,4,4,3,2,6,2,1,5,3,6,3,5,3,5,5,2,8,4,90,64.0,6979,6,5,1980,1980,0.0,1056,0,1056.0,1056,0,1056,2,0,0,0,0,2,4,0,1980.0,2,576,264,56,0,6,2010,151627.6,144000
3,0,1,4,0,23,2,0,2,1,12,13,3,2,4,2,2,4,1,2,6,0,1,5,2,6,2,1,2,5,5,2,6,5,20,71.0,9520,8,5,2007,2008,338.0,1513,125,1638.0,1646,0,1646,1,0,2,0,3,1,7,1,2008.0,3,800,192,44,0,4,2008,315598.43,293077
3,3,3,4,1,7,2,0,2,3,6,6,3,3,4,1,4,4,0,5,6,0,1,0,3,3,2,2,3,5,5,2,8,4,20,68.0,8562,5,6,1957,2002,145.0,383,833,1216.0,1526,0,1526,0,0,1,0,4,1,7,1,1957.0,1,364,116,78,0,5,2010,155123.84,144500
3,3,3,4,0,12,2,0,0,1,8,8,2,3,4,1,4,4,3,5,6,4,1,5,3,6,3,5,3,5,5,2,0,0,50,80.0,8480,5,5,1947,1950,0.0,442,390,832.0,832,384,1216,0,0,1,0,2,1,6,0,1947.0,1,336,158,0,102,10,2008,113544.43,118500
3,3,3,0,0,12,0,2,2,1,3,3,2,3,4,1,4,4,3,6,6,0,0,5,3,6,3,6,1,3,3,2,8,4,90,80.0,8000,5,4,1961,1961,0.0,0,1800,1800.0,1800,0,1800,0,0,2,0,6,2,10,0,1978.5061638868744,0,0,0,0,0,7,2007,122227.18,141000
1,0,3,4,0,21,2,0,5,3,12,13,1,2,4,2,2,4,3,1,6,0,1,5,2,6,5,5,2,5,5,2,8,4,60,66.0,7399,7,5,1997,1998,1600.0,649,326,975.0,975,975,1950,0,0,2,1,3,1,7,1,1997.0,2,576,0,10,0,6,2007,205534.48,239000
3,0,3,4,0,5,2,0,5,1,5,5,3,2,4,2,0,4,3,6,6,0,1,5,0,6,2,3,0,5,5,2,6,5,60,69.0,9588,8,5,2007,2007,270.0,0,1482,1482.0,1482,1092,2574,0,0,2,1,3,1,10,1,2007.0,3,868,0,148,0,11,2007,339680.34,276000
3,0,3,4,0,22,2,0,5,3,5,5,3,2,4,2,0,4,0,2,6,0,1,5,0,6,2,3,0,5,5,2,6,5,60,85.0,16056,9,5,2005,2006,208.0,240,1752,1992.0,1992,876,2868,0,0,3,1,4,1,11,1,2005.0,3,716,214,108,0,7,2006,417389.57,556581
3,3,3,4,0,4,2,0,5,1,8,8,2,3,2,1,4,4,2,6,6,0,1,5,3,6,5,1,3,5,5,2,0,4,70,70.04995836802665,24090,7,7,1940,1950,0.0,0,1032,1032.0,1207,1196,2403,0,0,2,0,4,1,10,2,1940.0,1,349,56,0,318,6,2010,236112.49,244400
3,0,3,4,0,16,2,0,2,1,12,13,2,2,4,2,0,4,1,2,6,0,1,5,0,6,0,1,0,5,5,2,8,4,20,90.0,12378,9,5,2003,2004,0.0,1274,622,1896.0,1944,0,1944,1,0,2,0,3,1,8,3,2003.0,3,708,208,175,0,11,2006,351739.36,360000
3,3,3,4,0,17,2,0,1,1,8,8,2,3,4,1,4,4,3,6,6,0,1,5,3,6,3,6,1,3,3,2,8,4,45,55.0,5500,4,6,1956,1956,0.0,0,882,882.0,882,0,882,0,0,1,0,1,1,4,0,1978.5061638868744,0,0,0,0,0,4,2007,99251.0,103200
3,3,3,4,0,18,2,0,0,1,13,14,2,3,1,0,4,4,3,6,6,0,1,5,3,6,3,6,1,3,3,1,8,4,50,60.0,6000,5,5,1926,1950,0.0,0,1008,1008.0,1008,0,1522,0,0,2,0,4,1,7,0,1978.5061638868744,0,0,0,0,138,6,2006,124351.15,102000
4,3,3,4,0,1,2,3,5,1,8,8,2,3,2,1,2,4,3,3,2,4,1,5,3,6,5,1,0,5,5,2,0,4,160,24.0,1950,6,6,1980,1980,0.0,81,23,716.0,716,840,1556,1,0,2,1,3,1,6,1,1980.0,2,452,161,0,0,7,2008,163428.44,151000
3,3,3,4,0,15,2,0,0,3,6,6,1,2,4,2,2,4,3,2,6,0,1,5,2,6,5,1,0,5,5,2,8,4,50,85.0,10678,8,5,1992,2000,337.0,700,983,1683.0,2129,743,2872,0,0,2,1,4,1,9,1,1992.0,2,541,0,33,0,4,2007,336750.12,285000
